timestamp,model_name,attack_type,epsilon,accuracy,precision_micro,recall_micro,f1_micro
2025-03-31 10:00:32,Linear SVM,sample-agnostic,0.5,0.0,0.6878306878306878,0.22887323943661972,0.34346103038309117
2025-03-31 10:04:36,Logistic Regression,sample-agnostic,0.5,0.0,0.07254187909686817,0.8767605633802817,0.1339970402260191
2025-03-31 10:09:51,Decision Tree,sample-agnostic,0.5,0.01,0.484375,0.272887323943662,0.3490990990990991
