timestamp,attack_model,defense_type,attack_type,epsilon,accuracy,precision_micro,recall_micro,f1_micro,base_f1_micro,model_name,improvement,rel_improvement
2025-03-31 15:48:34,Linear SVM,ensemble,none,0.0,0.0,0.0773530744825502,0.8782161234991424,0.1421827270202721,0.3333333333333333,,-0.19115060631306122,-57.34518189391837
2025-03-31 15:48:34,Linear SVM,ensemble,white-box,0.5,0.0,0.0772837265577737,0.8765008576329331,0.142043085476025,0.3219645293315143,,-0.1799214438554893,-55.88238065511596
2025-03-31 15:48:35,Logistic Regression,ensemble,none,0.0,0.01,0.5681063122923588,0.2933104631217839,0.3868778280542986,0.1421827270202721,,0.2446951010340265,172.09903492647067
2025-03-31 15:48:35,Logistic Regression,ensemble,white-box,0.5,0.01,0.5647840531561462,0.2915951972555746,0.3846153846153846,0.1422826237692414,,0.2423327608461432,170.31788873894143
2025-03-31 15:48:36,Softmax Regression,ensemble,none,0.0,0.01,0.5681063122923588,0.2933104631217839,0.3868778280542986,0.1421827270202721,,0.2446951010340265,172.09903492647067
2025-03-31 15:48:36,Softmax Regression,ensemble,white-box,0.5,0.01,0.5647840531561462,0.2915951972555746,0.3846153846153846,0.1422826237692414,,0.2423327608461432,170.31788873894143
2025-03-31 15:48:37,Decision Tree,ensemble,none,0.0,0.0,0.0773530744825502,0.8782161234991424,0.1421827270202721,0.3202846975088968,,-0.17810197048862472,-55.60739300811505
2025-03-31 15:48:37,Decision Tree,ensemble,white-box,0.5,0.0,0.0774349667271627,0.8782161234991424,0.1423210562890896,0.3225806451612903,,-0.18025958887220073,-55.88047255038223
2025-03-31 15:48:57,,transformation-scaling,white-box,0.5,0.01,0.6428571428571429,0.2933104631217839,0.4028268551236749,0.3333333333333333,Linear SVM,0.06949352179034157,20.848056537102472
2025-03-31 15:48:57,,transformation-pca,white-box,0.5,0.01,0.7866666666666666,0.2024013722126929,0.3219645293315143,0.3333333333333333,Linear SVM,-0.011368804001819,-3.4106412005457
2025-03-31 15:48:58,,transformation-quantile,white-box,0.5,0.01,0.4819672131147541,0.2521440823327616,0.3310810810810811,0.3333333333333333,Linear SVM,-0.0022522522522522292,-0.6756756756756688
2025-03-31 15:48:58,,transformation-scaling,white-box,0.5,0.0,0.0478179619654831,0.7461406518010292,0.0898760330578512,0.1421827270202721,Logistic Regression,-0.052306693962420894,-36.78836034349174
2025-03-31 15:48:58,,transformation-pca,white-box,0.5,0.0,0.0773989136994568,0.8799313893653516,0.1422826237692414,0.1421827270202721,Logistic Regression,9.989674896929146e-05,0.07025941270281615
2025-03-31 15:48:59,,transformation-quantile,white-box,0.5,0.0,0.0536303630363036,0.8919382504288165,0.1011771573110224,0.1421827270202721,Logistic Regression,-0.04100556970924969,-28.840050102150038
2025-03-31 15:48:59,,transformation-scaling,white-box,0.5,0.0,0.0478179619654831,0.7461406518010292,0.0898760330578512,0.1421827270202721,Softmax Regression,-0.052306693962420894,-36.78836034349174
2025-03-31 15:48:59,,transformation-pca,white-box,0.5,0.0,0.0773989136994568,0.8799313893653516,0.1422826237692414,0.1421827270202721,Softmax Regression,9.989674896929146e-05,0.07025941270281615
2025-03-31 15:49:00,,transformation-quantile,white-box,0.5,0.0,0.0536303630363036,0.8919382504288165,0.1011771573110224,0.1421827270202721,Softmax Regression,-0.04100556970924969,-28.840050102150038
2025-03-31 15:49:00,,transformation-scaling,white-box,0.5,0.0,0.2550143266475644,0.3053173241852487,0.2779078844652615,0.3202846975088968,Decision Tree,-0.04237681304363533,-13.230982739179476
2025-03-31 15:49:00,,transformation-pca,white-box,0.5,0.01,0.531496062992126,0.2315608919382504,0.3225806451612903,0.3202846975088968,Decision Tree,0.002295947652393493,0.7168458781361906
2025-03-31 15:49:01,,transformation-quantile,white-box,0.5,0.01,0.4459016393442623,0.2332761578044597,0.3063063063063063,0.3202846975088968,Decision Tree,-0.013978391202590534,-4.364364364364377
2025-03-31 15:48:57,,transformation-scaling,white-box,0.5,0.01,0.6428571428571429,0.2933104631217839,0.4028268551236749,0.3333333333333333,Linear SVM,0.06949352179034157,20.848056537102472
2025-03-31 15:48:57,,transformation-pca,white-box,0.5,0.01,0.7866666666666666,0.2024013722126929,0.3219645293315143,0.3333333333333333,Linear SVM,-0.011368804001819,-3.4106412005457
2025-03-31 15:48:58,,transformation-quantile,white-box,0.5,0.01,0.4819672131147541,0.2521440823327616,0.3310810810810811,0.3333333333333333,Linear SVM,-0.0022522522522522292,-0.6756756756756688
2025-03-31 15:48:58,,transformation-scaling,white-box,0.5,0.0,0.0478179619654831,0.7461406518010292,0.0898760330578512,0.1421827270202721,Logistic Regression,-0.052306693962420894,-36.78836034349174
2025-03-31 15:48:58,,transformation-pca,white-box,0.5,0.0,0.0773989136994568,0.8799313893653516,0.1422826237692414,0.1421827270202721,Logistic Regression,9.989674896929146e-05,0.07025941270281615
2025-03-31 15:48:59,,transformation-quantile,white-box,0.5,0.0,0.0536303630363036,0.8919382504288165,0.1011771573110224,0.1421827270202721,Logistic Regression,-0.04100556970924969,-28.840050102150038
2025-03-31 15:48:59,,transformation-scaling,white-box,0.5,0.0,0.0478179619654831,0.7461406518010292,0.0898760330578512,0.1421827270202721,Softmax Regression,-0.052306693962420894,-36.78836034349174
2025-03-31 15:48:59,,transformation-pca,white-box,0.5,0.0,0.0773989136994568,0.8799313893653516,0.1422826237692414,0.1421827270202721,Softmax Regression,9.989674896929146e-05,0.07025941270281615
