Model,Epsilon,Accuracy,Precision (micro),Recall (micro),F1 (micro),Attack Type
Linear SVM,0.5,0.02,0.7951807228915663,0.2426470588235294,0.37183098591549296,White-box
Logistic Regression,0.5,0.0,0.0664067938187387,0.8768382352941176,0.12346318105344894,White-box
Softmax Regression,0.5,0.0,0.0664067938187387,0.8768382352941176,0.12346318105344894,White-box
Decision Tree,0.5,0.05,0.6,0.2702205882352941,0.3726235741444867,White-box
Logistic Regression,0.5,0.0,0.06636060100166945,0.8768382352941176,0.12338334195550957,Black-box (from Linear SVM)
Softmax Regression,0.5,0.0,0.06636060100166945,0.8768382352941176,0.12338334195550957,Black-box (from Linear SVM)
Decision Tree,0.5,0.04,0.5610687022900763,0.2702205882352941,0.36476426799007444,Black-box (from Linear SVM)
