Model,Epsilon,Accuracy,Precision (micro),Recall (micro),F1 (micro),Attack Success Rate,Attack Type
Linear SVM,0.5,0.02,0.7951807228915663,0.2426470588235294,0.37183098591549296,0.9950455212016364,Targeted
Logistic Regression,0.5,0.0,0.0662592026670371,0.8768382352941176,0.12320805889190237,0.9785838658393313,Targeted
Softmax Regression,0.5,0.0,0.0662592026670371,0.8768382352941176,0.12320805889190237,0.9786904137704789,Targeted
Decision Tree,0.5,0.02,0.5344827586206896,0.2849264705882353,0.37170263788968827,0.9948324253393411,Targeted
Linear SVM,0.5,0.02,0.7951807228915663,0.2426470588235294,0.37183098591549296,,Untargeted
Logistic Regression,0.5,0.0,0.0664067938187387,0.8768382352941176,0.12346318105344894,,Untargeted
Softmax Regression,0.5,0.0,0.0664067938187387,0.8768382352941176,0.12346318105344894,,Untargeted
Decision Tree,0.5,0.05,0.6,0.2702205882352941,0.3726235741444867,,Untargeted
